source,path,rows,columns,size_bytes,sha256
stage2_sequence_summary,reports\stage2\sequence_summary.csv,9,11,1162,3d503840537ef0fabccd9d769b634e4c8ac6f687f7c3cfcccffbc4d7cf1ebd0e
stage2_sensor_quality,reports\stage2\sensor_quality_summary.csv,4,6,160,213e9a063a67e763cdeb7054fa8db1bed98e81d003835bf16bb35f366f3ddd36
stage2_sensor_issue_rows,reports\stage2\sensor_issue_rows.csv,9,33,1825,6cf0728cbb82e01a144c372bb6aad9fa99d13fc6a811a740e0312b7ee88d6c83
stage2_controller_quality,reports\stage2\controller_quality_summary.csv,13,2,242,a6079ae375a22fe3127193b4d34846ad03c1c84d9264f5b2d831a4d4799daadf
stage2_controller_issue_rows,reports\stage2\controller_issue_rows.csv,8,16,948,5b83cc4eb49a1961399c703d27754a4fcc5daa255dbf4264f95ee4f54fc6ea86
stage2_feature_manifest,reports\stage2\version1_feature_manifest.csv,33,4,2475,1b3132da5a454890d944a87d3a0d58a05f51bf231ee0256b6a537627485772a8
stage2_target_summary,reports\stage2\target_summary.csv,3,7,303,e8a58b6b5b6d68dea62b7a3f7462fe0e1bbc21e299bafe9f08e229f8b8c1c258
stage3_risk_summary,reports\stage3\temperature_risk_summary.csv,3,11,466,4ed7530fd0a318af732ba00a0af6985eeb786cc34e55a765eb489c97f0c25714
stage4_data_summary,reports\stage4\data_summary.csv,5,5,188,d0624a004c5ac037c8f68c58205bf70d27a9a067e87edc4cdf6bbd75c40e0e40
stage4_class_distribution,reports\stage4\class_distribution.csv,9,8,815,197e332a6ee627959e02897debcc843b67cf70f347a570463aaf0629eb2240c8
stage4_model_configurations,reports\stage4\model_configurations.csv,9,3,421,dd6e2681b836ee0dc3ed8af6127124ce56f87cfce08aa3431c02e0abf84145c8
stage4_validation_comparison,reports\stage4\validation_comparison.csv,9,12,1991,025b38bb82b77614f1f1727a6d545f52e442cdf56b43ec3f08c8ef726b1a79c8
stage4_final_test_results,reports\stage4\final_test_results.csv,3,12,738,fd2cfd746e6a26c0dc3e0ad7f3de95d4477430271d822634306d96f6761d749d
stage3_processed_data,data\processed\incubator_stage3_targets.csv,see summary,see summary,17987370,a09db16ea75c8a46366187cbeb4db7a9d253deae7803b30eb5dbaf89d801a134
normalized_test_data,data\processed\incubator_stage4_test_normalized.csv,see summary,see summary,1754302,acf5d0ff93d684c8b3c0307427e1aeac8a68c11ca87c2c277e8f0a1ad41ba6e0
stage5_model_metadata,models\stage5\model_metadata.json,see summary,see summary,3618,217d55020f131eb92d751db4b21d7c0600a576c1ef9fcc57eaaa15815c0d8a86
