horizon_minutes,risk_class,feature,count,mean,median,q1,q3
5,LOW,duty_pct,2884,47.60575589459084,35.0,30.0,50.0
5,LOW,sensor_spread_c,2884,0.5562413314840499,0.6,0.4,0.7
5,NORMAL,duty_pct,48961,33.78658524131452,35.0,30.0,40.0
5,NORMAL,sensor_spread_c,48962,0.6627976798333401,0.7,0.5,0.8
5,HIGH,duty_pct,1053,24.900284900284902,30.0,15.0,35.0
5,HIGH,sensor_spread_c,1053,0.6903133903133905,0.7,0.6,0.8
10,LOW,duty_pct,4290,41.42890442890443,35.0,30.0,45.0
10,LOW,sensor_spread_c,4290,0.5711421911421911,0.6,0.5,0.7
10,NORMAL,duty_pct,46641,33.863875131322224,35.0,30.0,40.0
10,NORMAL,sensor_spread_c,46642,0.6633313322756313,0.7,0.5,0.8
10,HIGH,duty_pct,1715,28.740524781341108,35.0,25.0,35.0
10,HIGH,sensor_spread_c,1715,0.7030903790087465,0.7,0.6,0.8
15,LOW,duty_pct,5558,38.99514213745952,35.0,25.0,40.0
15,LOW,sensor_spread_c,5558,0.5751349406261245,0.6,0.5,0.7
15,NORMAL,duty_pct,44501,33.95047302307813,35.0,30.0,40.0
15,NORMAL,sensor_spread_c,44502,0.6646779920003595,0.7,0.5,0.8
15,HIGH,duty_pct,2270,29.940528634361232,35.0,30.0,35.0
15,HIGH,sensor_spread_c,2270,0.7057709251101321,0.7,0.6,0.8
